Edge,Count
5106,1
5152,1
5210,1
5264,1
5326,1
5372,1
5420,1
5494,1
5583,1
5600,1
5828,1
5929,1
5930,1
6402,1
6488,1
6497,1
6522,1
26649,2
27004,2
30341,1
30404,1
30427,7
19927,2
20325,2
20638,2
21081,2
23294,2
23473,7
15043,1
25508,1
25641,4
25680,3
31979,1
31980,8
27635,1
27581,1
27668,1
27847,1
27860,1
28073,1
28099,1
28143,1
32377,3
2003,7
1642,1
1824,1
1855,1
1866,1
3214,1
3258,1
3347,1
4006,1
4027,1
33236,2
33235,2
31290,1
31801,1
34445,3
34554,9
34584,9
34604,8
34830,8
35170,8
35236,8
35253,6
35254,3
35226,1
35237,2
35305,4
30485,1
30561,1
30644,1
30808,1
30993,1
31122,1
31240,1
31239,1
31202,3
31140,2
31141,3
67817,1
67892,1
68110,1
68118,1
68119,2
67766,1
67777,1
13685,1
13657,1
13660,1
13718,1
14915,1
15753,1
26014,6
24378,7
23299,7
11249,8
11121,5
11514,3
11496,3
11466,7
11618,5
11717,5
11928,5
33225,2
33247,2
33792,2
3153,7
27682,4
26977,4
26461,4
26007,4
25882,4
32376,8
34776,1
34674,1
34578,1
34732,1
34865,1
34900,3
34918,5
34919,7
75974,7
34720,7
34401,6
34444,6
35227,2
35141,2
34659,2
34461,2
34361,2
34323,2
33938,2
33939,3
33936,3
33919,2
33677,2
33652,2
27900,1
27851,1
38320,2
39881,2
40413,1
48470,2
17377,1
17378,1
17381,6
17390,7
17408,5
17404,1
2242,1
53468,1
53416,1
54016,1
54283,1
54369,1
5878,1
30461,4
30363,4
30298,4
30168,4
29895,4
29837,4
28437,4
28018,4
27922,4
27903,1
27801,1
27713,1
27015,1
75803,1
26790,1
26720,1
27902,3
27887,3
27874,3
68577,3
68524,3
68489,3
68516,3
68565,3
68605,3
76234,2
69069,2
68576,2
27135,4
26711,4
26186,4
26115,4
26052,4
25894,4
25803,4
25801,4
25516,4
63462,10
9417,10
9114,10
8937,10
24084,11
24114,11
24189,11
24241,11
24284,11
24331,11
24382,11
24420,11
24450,11
24480,11
24530,11
24572,11
24609,11
24631,11
24663,11
24694,11
24736,11
24950,11
25066,11
25202,11
25212,11
25373,11
25391,11
25507,11
25666,11
25685,11
25841,11
26040,11
27,1
9042,3
9019,2
9030,2
9556,2
9587,2
10136,4
10219,4
10220,2
10277,2
31859,6
6739,1
6484,1
6426,1
6595,1
6902,1
7215,1
1814,10
1916,14
1935,14
28841,4
13073,1
13007,16
28122,8
24934,5
24878,4
8295,5
75973,2
34901,2
36425,3
36503,3
36523,4
37411,4
40412,3
43377,3
43623,3
76009,3
43783,3
34282,29
35127,29
35175,29
75976,29
36439,29
37033,27
75987,27
9856,3
10524,1
10767,1
28599,3
28616,3
28703,3
28760,3
28819,3
29418,3
33075,1
33317,1
33383,1
29853,1
29996,1
30083,1
30204,1
30317,1
30415,1
30473,1
30659,1
30727,1
30864,1
31332,3
31917,13
75890,5
31924,7
31850,7
31821,5
31837,5
31841,5
31845,5
31853,6
15107,4
75565,4
15395,4
15265,2
14931,2
28879,1
28896,2
29781,2
30092,2
30196,2
30401,2
30448,2
30678,4
30706,3
30766,3
30816,2
32330,5
10906,7
10960,7
10961,7
10756,7
10638,11
64896,5
64821,5
64967,5
65137,5
65138,5
65077,5
65213,5
65500,5
65793,5
66044,5
66045,5
65309,5
64528,5
64505,5
64224,5
64026,5
63922,5
63912,5
63719,5
63685,5
63670,5
63647,5
63620,5
63569,5
63513,5
63493,5
23512,1
23753,4
23513,3
23431,2
23538,1
23640,1
24162,1
24316,1
24317,2
24217,2
24174,1
23612,1
23514,1
52057,1
52234,1
52233,2
52081,2
51040,2
50996,2
76043,2
75640,2
16986,2
75645,2
17059,2
17058,1
16751,1
25614,19
18961,10
18593,10
18467,2
17951,2
17883,2
4704,2
4829,2
4554,2
4490,2
57588,5
57567,5
57023,5
56971,5
56115,5
32607,2
32045,8
32979,2
32977,4
32837,4
32838,3
32830,3
30224,1
30280,1
30509,1
30655,1
30654,1
30782,1
30781,1
30777,1
30765,2
30717,2
27984,2
27985,2
27991,2
27995,2
28003,2
30860,5
31232,5
31248,5
49913,3
76036,3
49065,3
18468,8
18281,8
18283,8
18280,7
18235,7
18086,7
18083,7
18051,7
18018,7
17900,9
17926,9
17969,9
17968,9
17930,9
17890,7
21203,10
21202,10
34142,6
634,1
27137,6
27070,6
33722,5
33717,5
33704,5
33702,5
33662,5
33650,5
15803,9
15759,9
15738,9
15702,9
15660,9
25045,5
19918,2
19845,2
19705,2
19702,2
74894,6
