OBJECTID,FID_Select,osm_id,name,ref,type,oneway,bridge,tunnel,maxspeed,Class,ORIG_FID,geometry,Indegree,Outdegree,Degree_unweighted,Farness_unweighted,Farness_weighted,Indegree_norm,Outdegree_norm,Degree_unweighted_norm,Farness_unweighted_norm,Farness_weighted_norm
106,8862,143562788,,,residential,0,0,0,0,0,53,POINT (718237.8678447492 3147015.45477473),0.0,0.0,1.0,6546034.0,120791.0,0.0,0.0,0.1111111111111111,0.9764909459501793,0.022027606221365854
107,8906,143562858,,,residential,0,0,0,0,0,54,POINT (718277.4288755758 3147016.6533599645),0.0,0.0,3.0,6440890.0,120791.0,0.0,0.0,0.3333333333333333,0.9608063094174351,0.022027606221365854
110,8847,143562758,,,living_street,0,0,0,0,0,55,POINT (718309.3235684801 3146995.2484890707),0.0,0.0,1.0,6493464.0,120791.0,0.0,0.0,0.1111111111111111,0.9686489260296287,0.022027606221365854
112,8859,143562783,,,tertiary,0,0,0,60,0,56,POINT (718158.6671331618 3147025.772902701),0.0,0.0,3.0,5968700.0,120791.0,0.0,0.0,0.3333333333333333,0.8903683526686288,0.022027606221365854
116,8905,143562857,,,living_street,0,0,0,0,0,58,POINT (718063.5805312181 3147027.6155599114),0.0,0.0,1.0,5969015.0,120791.0,0.0,0.0,0.1111111111111111,0.8904153421355295,0.022027606221365854
118,8858,143562781,,,living_street,0,0,0,0,0,59,POINT (717967.2736698622 3147034.5029821675),0.0,0.0,3.0,6073593.0,120791.0,0.0,0.0,0.3333333333333333,0.9060155468007631,0.022027606221365854
120,8884,143562824,,,living_street,0,0,0,0,0,60,POINT (718044.2215521773 3147013.5098290704),0.0,0.0,1.0,6126167.0,120791.0,0.0,0.0,0.1111111111111111,0.9138581634129569,0.022027606221365854
121,342,25524691,Chattarpur Main Road,,tertiary,0,0,0,60,0,61,POINT (714920.1271518338 3144859.063682772),0.0,0.0,1.0,5646734.0,16131.0,0.0,0.0,0.1111111111111111,0.8423397472712545,0.0029416704552230927
122,342,25524691,Chattarpur Main Road,,tertiary,0,0,0,60,0,61,POINT (713561.3582000881 3147035.9231115915),0.0,0.0,3.0,5594160.0,16131.0,0.0,0.0,0.3333333333333333,0.8344971306590608,0.0029416704552230927
124,8859,143562783,,,tertiary,0,0,0,60,0,62,POINT (718166.9257454146 3147041.280816557),0.0,0.0,3.0,6021068.0,120791.0,0.0,0.0,0.3333333333333333,0.8981802396611985,0.022027606221365854
126,8899,143562849,,,residential,0,0,0,0,0,63,POINT (718217.1845864579 3147039.5176406465),0.0,0.0,1.0,6073642.0,120791.0,0.0,0.0,0.1111111111111111,0.9060228562733922,0.022027606221365854
127,8881,143562820,,,living_street,0,0,0,0,0,64,POINT (718468.9458283857 3147043.596295532),0.0,0.0,3.0,6651043.0,120791.0,0.0,0.0,0.3333333333333333,0.9921554441399659,0.022027606221365854
131,8854,143562772,,,living_street,0,0,0,0,0,66,POINT (718466.1317246733 3147051.0719406456),0.0,0.0,3.0,6598492.0,120791.0,0.0,0.0,0.3333333333333333,0.9843162585047206,0.022027606221365854
134,8878,143562815,,,living_street,0,0,0,0,0,67,POINT (718501.7369674556 3147039.925009908),0.0,0.0,1.0,6651066.0,120791.0,0.0,0.0,0.1111111111111111,0.9921588751169143,0.022027606221365854
136,8859,143562783,,,tertiary,0,0,0,60,0,68,POINT (718174.0490811262 3147063.0538283903),0.0,0.0,3.0,6073436.0,120791.0,0.0,0.0,0.3333333333333333,0.9059921266537682,0.022027606221365854
138,8859,143562783,,,tertiary,0,0,0,60,0,69,POINT (718175.3853190057 3147067.1030203756),0.0,0.0,3.0,6125840.0,120791.0,0.0,0.0,0.3333333333333333,0.9138093838711265,0.022027606221365854
139,8879,143562816,,,living_street,0,0,0,0,0,70,POINT (718135.3907808037 3147069.7437941544),0.0,0.0,3.0,6125931.0,120791.0,0.0,0.0,0.3333333333333333,0.9138229586060089,0.022027606221365854
140,8879,143562816,,,living_street,0,0,0,0,0,70,POINT (718112.603698031 3147022.192651527),0.0,0.0,1.0,6178505.0,120791.0,0.0,0.0,0.1111111111111111,0.9216655752182027,0.022027606221365854
143,10684,169968032,,,unclassified,0,0,0,0,0,72,POINT (712368.5919115171 3146924.096451996),0.0,0.0,1.0,5646734.0,16131.0,0.0,0.0,0.1111111111111111,0.8423397472712545,0.0029416704552230927
145,8850,143562762,,,residential,0,0,0,0,0,73,POINT (718147.1025238782 3147087.710348008),0.0,0.0,3.0,6178328.0,120791.0,0.0,0.0,0.3333333333333333,0.9216391716129918,0.022027606221365854
147,8886,143562828,,,living_street,0,0,0,0,0,74,POINT (718373.8619051343 3147088.1089702323),0.0,0.0,3.0,6440841.0,120791.0,0.0,0.0,0.3333333333333333,0.960798999944806,0.022027606221365854
148,8886,143562828,,,living_street,0,0,0,0,0,74,POINT (718364.8049776088 3147040.0800640676),0.0,0.0,1.0,6493415.0,120791.0,0.0,0.0,0.1111111111111111,0.9686416165569998,0.022027606221365854
150,8859,143562783,,,tertiary,0,0,0,60,0,75,POINT (718187.1920071058 3147089.9938386995),0.0,0.0,3.0,6178289.0,120791.0,0.0,0.0,0.3333333333333333,0.9216333538694708,0.022027606221365854
152,8883,143562823,,,residential,0,0,0,0,0,76,POINT (718240.7196076084 3147039.2662493587),0.0,0.0,1.0,6230863.0,120791.0,0.0,0.0,0.1111111111111111,0.9294759704816644,0.022027606221365854
154,8856,143562777,,,living_street,0,0,0,0,0,77,POINT (718412.9074659925 3147091.7264498714),0.0,0.0,3.0,6493375.0,120791.0,0.0,0.0,0.3333333333333333,0.9686356496405679,0.022027606221365854
158,8858,143562781,,,living_street,0,0,0,0,0,79,POINT (717956.6379130213 3147091.8456897587),0.0,0.0,3.0,6125951.0,120791.0,0.0,0.0,0.3333333333333333,0.9138259420642248,0.022027606221365854
161,8854,143562772,,,living_street,0,0,0,0,0,81,POINT (718484.1972117145 3147099.489769092),0.0,0.0,3.0,6545930.0,120791.0,0.0,0.0,0.3333333333333333,0.9764754319674565,0.022027606221365854
164,8896,143562844,,,residential,0,0,0,0,0,82,POINT (718518.3410152178 3147091.0431094635),0.0,0.0,1.0,6598504.0,120791.0,0.0,0.0,0.1111111111111111,0.9843180485796501,0.022027606221365854
165,8856,143562777,,,living_street,0,0,0,0,0,83,POINT (718354.9813402351 3147103.202676786),0.0,0.0,3.0,6388291.0,120791.0,0.0,0.0,0.3333333333333333,0.9529599634824715,0.022027606221365854
167,9095,152218844,,,tertiary,0,0,0,0,0,84,POINT (710238.9727854803 3146982.5626932792),2.0,2.0,1.0,5818418.0,16131.0,0.008130081300813009,0.008130081300813009,0.1111111111111111,0.8679503492883707,0.0029416704552230927
168,9095,152218844,,,tertiary,0,0,0,0,0,84,POINT (710246.396320641 3147110.1463247053),2.0,2.0,4.0,5765844.0,16131.0,0.008130081300813009,0.008130081300813009,0.4444444444444444,0.8601077326761769,0.0029416704552230927
169,8847,143562758,,,living_street,0,0,0,0,0,85,POINT (718257.4009618508 3147111.660565976),0.0,0.0,3.0,6388324.0,120791.0,0.0,0.0,0.3333333333333333,0.9529648861885277,0.022027606221365854
172,8875,143562810,,,living_street,0,0,0,0,0,86,POINT (718304.7283251882 3147089.8542711213),0.0,0.0,1.0,6440898.0,120791.0,0.0,0.0,0.1111111111111111,0.9608075028007214,0.022027606221365854
173,22692,232388271,,,service,0,0,0,0,0,87,POINT (710666.4742369773 3147055.8355481457),0.0,0.0,1.0,5976111.0,16131.0,0.0,0.0,0.1111111111111111,0.8914738731105386,0.0029416704552230927
174,22692,232388271,,,service,0,0,0,0,0,87,POINT (710612.3163753971 3147112.037924871),0.0,0.0,3.0,5923537.0,16131.0,0.0,0.0,0.3333333333333333,0.883631256498345,0.0029416704552230927
177,8850,143562762,,,residential,0,0,0,0,0,89,POINT (718145.5594050614 3147112.8262315895),0.0,0.0,3.0,6230865.0,120791.0,0.0,0.0,0.3333333333333333,0.929476268827486,0.022027606221365854
180,8856,143562777,,,living_street,0,0,0,0,0,90,POINT (718443.8942168793 3147116.6472791117),0.0,0.0,3.0,6440824.0,120791.0,0.0,0.0,0.3333333333333333,0.9607964640053225,0.022027606221365854
182,8856,143562777,,,living_street,0,0,0,0,0,91,POINT (718465.3492538063 3147117.045149874),0.0,0.0,3.0,6493370.0,120791.0,0.0,0.0,0.3333333333333333,0.9686349037760139,0.022027606221365854
186,8856,143562777,,,living_street,0,0,0,0,0,93,POINT (718477.1520182891 3147121.621094385),0.0,0.0,3.0,6545896.0,120791.0,0.0,0.0,0.3333333333333333,0.9764703600884894,0.022027606221365854
187,8850,143562762,,,residential,0,0,0,0,0,94,POINT (718127.5222056666 3147123.1464726124),0.0,0.0,3.0,6283339.0,120791.0,0.0,0.0,0.3333333333333333,0.9373039681486001,0.022027606221365854
191,8847,143562758,,,living_street,0,0,0,0,0,96,POINT (718261.9595063515 3147124.8050777204),0.0,0.0,3.0,6335762.0,120791.0,0.0,0.0,0.3333333333333333,0.9451240596512636,0.022027606221365854
196,9095,152218844,,,tertiary,0,0,0,0,0,98,POINT (710246.8847341668 3147128.9015129767),0.0,0.0,3.0,5713304.0,16131.0,0.0,0.0,0.3333333333333333,0.8522701879429503,0.0029416704552230927
197,8850,143562762,,,residential,0,0,0,0,0,99,POINT (718101.2549256841 3147129.1236176435),0.0,0.0,3.0,6335811.0,120791.0,0.0,0.0,0.3333333333333333,0.9451313691238926,0.022027606221365854
199,22690,231741118,,,service,1,0,0,0,0,100,POINT (710275.2992057009 3147130.22906184),0.0,0.0,3.0,5765856.0,16131.0,0.0,0.0,0.3333333333333333,0.8601095227511065,0.0029416704552230927
202,8908,143562860,,,residential,0,0,0,0,0,101,POINT (718022.0334794857 3147131.0829013865),0.0,0.0,3.0,6230813.0,120791.0,0.0,0.0,0.3333333333333333,0.9294685118361246,0.022027606221365854
203,22690,231741118,,,service,1,0,0,0,0,102,POINT (710304.9461484347 3147133.3302759957),0.0,0.0,3.0,5818412.0,16131.0,0.0,0.0,0.3333333333333333,0.8679494542509059,0.0029416704552230927
205,8910,143562862,,,living_street,0,0,0,0,0,103,POINT (718357.1384147042 3147134.3406818993),0.0,0.0,3.0,6388282.0,120791.0,0.0,0.0,0.3333333333333333,0.9529586209262743,0.022027606221365854
209,22690,231741118,,,service,1,0,0,0,0,105,POINT (710432.4536294509 3147137.381149551),0.0,0.0,3.0,5870972.0,16131.0,0.0,0.0,0.3333333333333333,0.8757899824423484,0.0029416704552230927
211,8910,143562862,,,living_street,0,0,0,0,0,106,POINT (718347.567473229 3147139.950501604),0.0,0.0,3.0,6335750.0,120791.0,0.0,0.0,0.3333333333333333,0.945122269576334,0.022027606221365854
215,22686,231741112,,,service,0,0,0,0,0,108,POINT (710304.7102917088 3147144.3455802314),0.0,0.0,3.0,5765875.0,16131.0,0.0,0.0,0.3333333333333333,0.8601123570364116,0.0029416704552230927
218,8894,143562841,,,living_street,0,0,0,0,0,109,POINT (717947.4118962586 3147145.0348345116),0.0,0.0,4.0,6178387.0,120791.0,0.0,0.0,0.4444444444444444,0.9216479728147288,0.022027606221365854
222,22690,231741118,,,service,1,0,0,0,0,111,POINT (710431.366761174 3147147.2061378397),0.0,0.0,3.0,5818435.0,16131.0,0.0,0.0,0.3333333333333333,0.8679528852278542,0.0029416704552230927
225,22689,231741116,,,service,0,0,0,0,0,113,POINT (710275.6955406833 3147148.6500309855),0.0,0.0,3.0,5713319.0,16131.0,0.0,0.0,0.3333333333333333,0.8522724255366122,0.0029416704552230927
230,9095,152218844,,,tertiary,0,0,0,0,0,115,POINT (710247.4459957145 3147150.163444262),2.0,2.0,3.0,5660767.0,16131.0,0.008130081300813009,0.008130081300813009,0.3333333333333333,0.8444330907284561,0.0029416704552230927
235,8954,144358030,,,residential,0,0,0,0,0,118,POINT (710108.3792250343 3147094.259040581),0.0,0.0,1.0,5870946.0,16131.0,0.0,0.0,0.1111111111111111,0.8757861039466677,0.0029416704552230927
236,8954,144358030,,,residential,0,0,0,0,0,118,POINT (710104.1993637634 3147155.5340895746),0.0,0.0,4.0,5818372.0,16131.0,0.0,0.0,0.4444444444444444,0.867943487334474,0.0029416704552230927
239,8911,143562863,,,living_street,0,0,0,0,0,120,POINT (717894.0199877461 3147155.6769686304),0.0,0.0,3.0,6230931.0,120791.0,0.0,0.0,0.3333333333333333,0.9294861142395986,0.022027606221365854
242,8911,143562863,,,living_street,0,0,0,0,0,121,POINT (718030.5543638906 3147156.2520086486),0.0,0.0,3.0,6283333.0,120791.0,0.0,0.0,0.3333333333333333,0.9373030731111354,0.022027606221365854
246,8948,144358024,,,living_street,0,0,0,0,0,123,POINT (710074.1661279611 3147123.5219856184),0.0,0.0,1.0,5870946.0,16131.0,0.0,0.0,0.1111111111111111,0.8757861039466677,0.0029416704552230927
247,8850,143562762,,,residential,0,0,0,0,0,124,POINT (718025.6418852573 3147158.51144821),0.0,0.0,3.0,6283361.0,120791.0,0.0,0.0,0.3333333333333333,0.9373072499526376,0.022027606221365854
249,8856,143562777,,,living_street,0,0,0,0,0,125,POINT (718260.7971807523 3147166.380584497),0.0,0.0,3.0,6283229.0,120791.0,0.0,0.0,0.3333333333333333,0.9372875591284126,0.022027606221365854
253,8874,143562809,,,living_street,0,0,0,0,0,127,POINT (718142.112801169 3147170.346325081),0.0,0.0,3.0,6283303.0,120791.0,0.0,0.0,0.3333333333333333,0.9372985979238114,0.022027606221365854
258,8859,143562783,,,tertiary,0,0,0,60,0,129,POINT (718233.1449519442 3147177.287497077),0.0,0.0,4.0,6230719.0,120791.0,0.0,0.0,0.4444444444444444,0.9294544895825098,0.022027606221365854
261,8849,143562760,,,living_street,0,0,0,0,0,131,POINT (718465.1293554492 3147177.5187340006),0.0,0.0,3.0,6493364.0,120791.0,0.0,0.0,0.3333333333333333,0.9686340087385491,0.022027606221365854
264,8903,143562855,,,living_street,0,0,0,0,0,132,POINT (718556.4738293998 3147180.83178846),0.0,0.0,1.0,6598470.0,120791.0,0.0,0.0,0.1111111111111111,0.9843129767006831,0.022027606221365854
266,8900,143562850,,,residential,0,0,0,0,0,133,POINT (717951.6983438553 3147188.2632210925),0.0,0.0,3.0,6230893.0,120791.0,0.0,0.0,0.3333333333333333,0.9294804456689882,0.022027606221365854
270,8849,143562760,,,living_street,0,0,0,0,0,135,POINT (718424.6559265796 3147195.4270185735),0.0,0.0,3.0,6388276.0,120791.0,0.0,0.0,0.3333333333333333,0.9529577258888094,0.022027606221365854
272,8900,143562850,,,residential,0,0,0,0,0,136,POINT (717946.4698919598 3147195.949283287),0.0,0.0,3.0,6283426.0,120791.0,0.0,0.0,0.3333333333333333,0.9373169461918394,0.022027606221365854
274,8849,143562760,,,living_street,0,0,0,0,0,137,POINT (718460.8348598788 3147196.6522509903),0.0,0.0,3.0,6440822.0,120791.0,0.0,0.0,0.3333333333333333,0.9607961656595009,0.022027606221365854
278,8891,143562836,,,living_street,0,0,0,0,0,139,POINT (718510.841177389 3147188.400000805),0.0,0.0,1.0,6545938.0,120791.0,0.0,0.0,0.1111111111111111,0.9764766253507428,0.022027606221365854
279,8890,143562835,,,living_street,0,0,0,0,0,140,POINT (717923.5053447932 3147200.347093098),0.0,0.0,3.0,6283459.0,120791.0,0.0,0.0,0.3333333333333333,0.9373218688978956,0.022027606221365854
283,8851,143562763,,,residential,0,0,0,0,0,142,POINT (718169.7333670957 3147205.5922399703),0.0,0.0,3.0,6283221.0,120791.0,0.0,0.0,0.3333333333333333,0.9372863657451261,0.022027606221365854
285,8874,143562809,,,living_street,0,0,0,0,0,143,POINT (718149.6571817733 3147207.482100388),0.0,0.0,3.0,6335720.0,120791.0,0.0,0.0,0.3333333333333333,0.9451177943890101,0.022027606221365854
289,8851,143562763,,,residential,0,0,0,0,0,145,POINT (718136.8131510252 3147208.3307357933),0.0,0.0,3.0,6388207.0,120791.0,0.0,0.0,0.3333333333333333,0.9529474329579646,0.022027606221365854
