Node,Farness_weighted
68226,16131
74604,16131
68658,16131
74594,16131
68626,16131
75322,16131
76928,16131
69780,16131
70863,16131
72271,16131
72881,16131
73070,16131
73122,16131
68019,16131
48196,16131
51441,16131
68560,16131
69336,16131
70840,16131
71357,16131
71344,16131
71829,16131
71824,16131
72266,16131
76920,16131
68014,16131
73271,16131
6085,16131
67571,16131
67572,16131
67573,16131
67766,16131
76919,16131
77672,16131
39704,16131
32576,16131
39675,16131
67761,16131
67864,16131
67855,16131
46874,16131
67762,16131
68790,16131
27282,16131
68766,16131
69002,16131
67756,16131
69004,16131
69460,16131
75758,16131
75761,16131
76864,16131
76858,16131
77697,16131
79470,16131
69462,16131
69878,16131
69880,16131
70827,16131
72658,16131
67755,16131
67856,16131
67757,16131
72434,16131
76389,16131
76854,16131
75764,16131
75765,16131
72115,16131
72117,16131
70821,16131
72954,16131
74360,16131
74359,16131
74355,16131
77723,16131
78944,16131
78950,16131
76397,16131
74352,16131
72436,16131
70822,16131
74351,16131
74347,16131
76409,16131
74343,16131
74344,16131
74337,16131
74327,16131
75238,16131
75214,16131
76366,16131
137799,16131
78958,16131
77753,16131
76370,16131
40037,16131
14896,16131
40062,16131
47320,16131
74324,16131
74790,16131
74736,16131
75316,16131
75310,16131
47519,16131
76376,16131
77805,16131
148505,0
148367,0
148394,0
148627,0
74323,16131
74313,16131
47532,16131
147176,16131
47812,16131
50123,16131
148614,0
148515,0
148648,0
71848,16131
73011,16131
71978,16131
74240,16131
148516,0
74311,16131
76380,16131
148463,0
148597,0
44935,16131
50135,16131
77825,16131
76386,16131
148368,0
52353,16131
52354,16131
76392,16131
148429,0
77835,16131
76394,16131
50124,16131
148388,0
148485,0
77843,16131
76404,16131
148421,0
137719,16131
137713,16131
51445,16131
51474,16131
51447,16131
51784,16131
51933,16131
137162,16131
137161,16131
34588,16131
137495,16131
137453,16131
137490,16131
137545,16131
137544,16131
137673,16131
137399,16131
137460,16131
137670,16131
137710,16131
137747,16131
137744,16131
137763,16131
137766,16131
137369,16131
137410,16131
137329,16131
137366,16131
137299,16131
137326,16131
