Node,Indegree,Outdegree
34659,24,24
67427,6,6
67431,11,5
100203,8,8
67440,33,33
34673,25,25
67442,9,9
34677,149,149
34679,35,35
34686,16,16
67460,9,9
100228,1,1
67462,29,31
100233,2,0
67470,12,11
67472,33,33
34704,24,24
67473,11,11
67478,7,7
67479,20,20
1943,5,5
34715,1,1
100254,13,5
67491,41,41
34724,44,44
100262,8,8
34726,16,16
67496,9,9
67497,3,3
100266,1,1
1964,34,39
67501,14,14
67503,11,11
67507,20,20
34740,97,98
67510,1,1
1976,8,8
67515,1,1
34753,4,2
34758,28,28
34762,24,24
67532,21,3
67536,3,3
2008,40,40
34780,24,24
67550,19,19
34787,9,9
67555,4,4
2019,3,3
67558,30,30
67562,0,2
67563,18,18
67566,10,10
2031,8,8
34805,12,12
67578,15,15
67584,5,3
34818,12,12
133123,51,51
133124,42,42
67588,8,8
133126,1,1
67611,13,10
67612,9,11
67615,7,19
67619,15,15
67620,15,15
67621,7,13
34857,7,7
67626,0,2
34861,24,21
2095,17,17
67633,30,30
133173,4,4
67638,19,19
67643,5,5
34878,70,70
67646,6,6
67648,10,10
67654,7,7
67657,1,1
2124,40,40
67665,3,3
67667,19,19
2135,16,16
100440,20,20
34907,52,52
67680,31,31
100451,14,14
34917,2,2
34919,24,24
34925,2,2
67695,1,1
34929,4,4
133234,4,4
67701,15,15
34934,12,12
67703,10,10
2167,3,3
2169,6,6
67710,23,23
2178,7,7
2179,14,14
34948,3,3
34951,2,3
133257,4,4
67725,8,8
2190,3,3
67732,63,63
67734,23,23
34968,3,3
34972,7,6
2205,3,3
67742,15,15
67746,22,22
2213,1,1
2220,14,14
34988,25,25
34998,3,3
67773,50,50
67776,31,31
35008,25,25
35014,1,1
35017,24,24
67786,3,3
67790,12,0
67791,12,12
67794,18,18
2264,14,14
67800,1,1
2270,14,14
35038,12,12
2272,33,33
100578,4,4
35043,9,9
67815,12,12
35048,51,54
67818,33,33
67820,2,2
67821,11,11
133358,4,4
67822,2,2
67825,1,1
35062,9,9
67832,4,4
2297,21,21
67835,6,6
35075,4,4
35077,3,3
133383,22,22
35082,24,24
67854,63,63
35087,19,19
2322,14,14
67858,2,2
67862,1,0
2328,35,35
35100,3,3
67870,6,6
67871,6,6
35105,3,3
67874,4,4
67876,5,5
35115,28,28
35120,4,4
35128,3,3
67900,20,20
35137,1,1
2372,13,13
35143,1,1
2386,1,0
133459,1,1
133460,39,38
100699,4,4
2400,20,20
2404,1,1
67944,11,11
2410,17,17
35182,26,26
67952,6,0
35186,8,8
100726,1,1
2435,14,11
67971,4,4
2437,21,21
2442,4,2
35212,70,70
2448,1,1
35219,17,17
100758,8,8
35223,2,2
2456,16,16
2457,16,16
35227,1,1
35228,1,1
35230,7,7
100767,1,1
2464,4,4
68005,12,12
2470,15,16
35237,2,1
68015,8,8
68017,6,6
68018,6,6
35250,1,1
100788,15,15
35253,3,3
35257,52,52
68025,5,5
68026,5,5
35260,2,2
100800,4,4
2497,3,3
35266,26,26
100806,14,14
2503,13,13
2504,19,19
2506,4,4
2510,4,4
2514,13,19
35283,3,3
68053,2,2
2518,16,16
35293,1,1
35298,2,2
35301,3,3
35303,62,62
35304,62,62
2538,13,13
68074,6,6
2540,13,13
133611,2,0
2542,11,11
68082,2,2
2547,54,54
35320,1,1
68089,1,1
68094,1,1
35329,7,7
35330,7,7
68100,5,5
68103,1,1
68104,1,1
2569,4,4
35343,1,1
2579,3,3
2581,3,3
35349,30,29
35350,29,29
2583,11,11
35352,1,1
2587,11,11
2590,63,63
2595,2,2
100900,1,1
35367,1,1
2602,1,1
68138,1,1
68142,16,10
35374,1,1
2608,1,1
35377,2,1
68148,20,19
68149,31,31
133693,4,4
2622,5,5
2624,10,10
2625,1,1
68162,11,11
35398,8,8
68172,2,2
35405,2,2
2636,6,6
35411,2,2
68180,3,3
2650,5,5
35423,7,7
68192,7,7
68196,5,5
35428,1,1
35432,5,5
68205,33,31
2669,1,1
68207,11,11
2675,1,1
68211,11,2
68218,8,8
2684,5,5
2687,1,1
2688,1,1
2692,5,5
68232,4,4
68234,4,4
35467,2,2
101003,6,6
68241,18,18
35478,38,39
35479,2,2
68246,2,12
68249,19,19
68248,1,1
35496,1,1
68264,2,0
35499,61,62
35500,62,62
68268,12,12
2735,6,6
2739,5,5
2740,5,5
68278,6,6
2743,8,8
35512,7,7
2746,4,4
68283,73,73
68287,11,11
2751,4,4
68290,72,72
68293,29,29
2758,8,8
68295,0,12
68298,4,4
68299,1,1
35534,2,0
68304,62,62
2769,0,11
133852,1,0
2786,8,7
133859,35,35
35556,6,6
35563,7,7
2796,53,54
2797,23,23
35572,98,99
